mon data pour n=1					
	rho	F(rho)		rho	G(rho)
	0.014968	0.040581		1.442192	13.209093
	0.015086	0.040905		1.444982	13.269317
	0.015164	0.041122		1.447575	13.325499
	0.015282	0.041446		1.450089	13.379047
	0.0154	0.041771		1.452485	13.431017
	0.015479	0.041987		1.455	13.485738
	0.015479	0.041987		1.457396	13.538017
	0.015479	0.041987		1.459596	13.585707
	0.015479	0.041987		1.462189	13.642168
	0.015597	0.042312		1.463486	13.670752
	0.015675	0.042528		1.464978	13.702997
	0.015793	0.042853		1.467571	13.760257
	0.015872	0.04307		1.469968	13.813187
	0.015989	0.043395		1.472482	13.868342
	0.016068	0.043611		1.4748	13.919273
	0.016186	0.043936		1.477393	13.97677
	0.016186	0.043936		1.479868	14.031767
	0.016186	0.043936		1.482186	14.083148
	0.016264	0.044153		1.484268	14.12958
	0.016382	0.044478		1.486664	14.182536
	0.0165	0.044804		1.4891	14.237188
	0.016579	0.045021		1.490475	14.26757
	0.016697	0.045346		1.491772	14.297283
	0.016775	0.045563		1.494286	14.353436
	0.016893	0.045888		1.4957	14.385264
	0.016972	0.046105		1.496997	14.414259
	0.017089	0.046431		1.498489	14.447814
	0.017089	0.046431		1.499982	14.480976
	0.017089	0.046431		1.502497	14.538125
	0.017168	0.046648		1.504893	14.59223
	0.017286	0.046974		1.507368	14.648585
	0.017364	0.047191		1.508782	14.680904
	0.017482	0.047517		1.510079	14.710349
	0.0176	0.047843		1.512475	14.764633
	0.017679	0.04806		1.51499	14.822164
	0.017797	0.048387		1.517386	14.876759
	0.017875	0.048604		1.519586	14.927185
	0.017993	0.04893		1.521982	14.981917
	0.018072	0.049148		1.523279	15.012281
	0.018189	0.049474		1.524575	15.041918
	0.018189	0.049474		1.527168	15.101634
	0.018189	0.049474		1.528583	15.13424
	0.018189	0.049474		1.529997	15.166587
	0.018268	0.049692		1.532393	15.22245
	0.018386	0.050018		1.533572	15.249861
	0.018464	0.050236		1.534986	15.282239
	0.018582	0.050563		1.537383	15.33811
	0.0187	0.050889		1.539583	15.3894
	0.018779	0.051107		1.540997	15.422002
	0.018897	0.051434		1.542293	15.45225
	0.018975	0.051652		1.54469	15.508591
	0.019093	0.051979		1.546065	15.540684
	0.019172	0.052197		1.547283	15.569228
	0.019289	0.052524		1.548776	15.604
	0.019368	0.052742		1.550072	15.634836
	0.019368	0.052742		1.552665	15.695689
	0.019368	0.052742		1.554079	15.728782
	0.019486	0.053069		1.555494	15.761928
	0.019564	0.053287		1.55789	15.81864
	0.019682	0.053615		1.559265	15.851381
	0.0198	0.053942		1.560483	15.880357
	0.019879	0.05416		1.561701	15.909051
	0.019997	0.054488		1.562879	15.93691
	0.020075	0.054706		1.565079	15.988902
	0.020193	0.055034		1.566297	16.017747
	0.020193	0.055036		1.567397	16.04399
	0.020272	0.055254		1.568694	16.075157
	0.02039	0.055582		1.569872	16.1034
	0.020468	0.055801		1.572269	16.160228
	0.020586	0.056129		1.573565	16.191405
	0.020664	0.056347		1.574783	16.220526
	0.020782	0.056675		1.576983	16.27322
	0.0209	0.057003		1.578201	16.302454
	0.0209	0.057003		1.579379	16.330504
	0.0209	0.057003		1.580676	16.362097
	0.020979	0.057222		1.581972	16.393239
	0.021097	0.05755		1.584369	16.450845
	0.021175	0.057769		1.585665	16.482614
	0.021293	0.058098		1.587001	16.514166
