mon data pour n=1					
	rho	F(rho)		rho	G(rho)
	1.815489	36.743013		4.378867	90.914641
	1.815489	36.742266		4.384367	90.981308
	1.815568	36.746743		4.389474	91.039911
	1.815685	36.75346		4.394778	91.105898
	1.815882	36.764659		4.399767	91.169056
	1.816	36.771377		4.409078	91.277625
	1.816	36.771377		4.413989	91.337993
	1.816	36.771377		4.419096	91.396066
	1.816196	36.782577		4.428368	91.500297
	1.816393	36.793784		4.433593	91.563503
	1.816589	36.804992		4.439171	91.624478
	1.816668	36.809476		4.444082	91.68457
	1.816864	36.82069		4.449386	91.744991
	1.816982	36.827416		4.459482	91.858808
	1.8171	36.834146		4.464982	91.919259
	1.817178	36.838631		4.47009	91.972623
	1.817296	36.845367		4.475393	92.033108
	1.817492	36.856584		4.480382	92.086791
	1.817689	36.867811		4.489772	92.193049
	1.817964	36.883531		4.494683	92.243864
	1.818082	36.890269		4.49979	92.29675
	1.818396	36.908247		4.509101	92.396093
	1.818592	36.919481		4.513894	92.451169
	1.818789	36.930724		4.519001	92.505478
	1.818868	36.935222		4.528194	92.595405
	1.818868	36.935222		4.533065	92.652325
	1.818985	36.941969		4.53829	92.70021
	1.818985	36.940842		4.543869	92.759991
	1.819182	36.952089		4.548976	92.813922
	1.819496	36.97009		4.55428	92.863818
	1.819771	36.985848		4.559269	92.91313
	1.819968	36.997107		4.568698	93.009921
	1.820282	37.015128		4.573569	93.053916
	1.820675	37.037666		4.578794	93.109925
	1.820989	37.0557		4.588066	93.194543
	1.821264	37.071491		4.592898	93.243421
	1.821578	37.089544		4.597966	93.290269
	1.821971	37.112118		4.607277	93.381841
	1.821971	37.112118		4.612384	93.434166
	1.822089	37.118138		4.618002	93.486274
	1.8226	37.147511		4.623187	93.5305
	1.822678	37.152032		4.628098	93.578054
	1.822678	37.152032		4.63297	93.621823
	1.822993	37.170118		4.637488	93.663719
	1.823268	37.18595		4.642477	93.707977
	1.823582	37.204051		4.647898	93.757289
	1.823896	37.22216		4.652691	93.803458
	1.824289	37.244809		4.657995	93.848578
	1.8248	37.274265		4.663495	93.899604
	1.824878	37.277662		4.668681	93.946161
	1.824996	37.284464		4.673984	93.99361
	1.826096	37.347997		4.678974	94.036321
	1.826764	37.386618		4.683492	94.075913
	1.826882	37.393434		4.688284	94.115344
	1.826882	37.393434		4.693077	94.159642
	1.827	37.400254		4.698302	94.2027
	1.827275	37.416174		4.703803	94.250954
	1.827275	37.415414		4.708988	94.29498
	1.827668	37.438166		4.714174	94.337923
	1.827982	37.45637		4.719203	94.381291
	1.828571	37.490533		4.723603	94.411561
	1.829082	37.520164		4.728474	94.454346
	1.829593	37.549811		4.733699	94.495819
	1.829593	37.548665		4.738492	94.537596
	1.830968	37.628589		4.743874	94.581482
	1.831282	37.646878		4.748982	94.617791
	1.831282	37.646878		4.753971	94.663752
	1.831675	37.66975		4.759196	94.705855
	1.831793	37.675846		4.763596	94.734833
	1.831989	37.68729		4.768467	94.776076
	1.832893	37.739962		4.773575	94.813542
	1.833796	37.792703		4.778289	94.848657
	1.833993	37.803025		4.783789	94.89783
	1.834582	37.837461		4.788896	94.931811
	1.834896	37.855838		4.793768	94.96828
	1.835171	37.871923		4.798875	95.006607
	1.835682	37.901817		4.803393	95.042634
	1.835682	37.901817		4.808186	95.076941
	1.8358	37.907562		4.813293	95.112226
	1.8358	37.907562		4.817968	95.149797
	1.835878	37.912163		4.823075	95.182994
	1.836271	37.935174		4.828497	95.223197
	1.837371	37.999681		4.833289	95.259117
	1.837568	38.011207		4.838475	95.300982
	1.837686	38.01735		4.843268	95.328477
	1.839296	38.112013		4.847786	95.369106
	1.839375	38.115473		4.852775	95.401164
	1.8402	38.164039		4.857372	95.425794
	1.840986	38.21035		4.862479	95.463734
	1.840986	38.21035		4.867901	95.501798
	1.841064	38.214202		4.872693	95.536381
	1.8413	38.228109		4.877801	95.571072
	1.8413	38.228109		4.882594	95.603944
	1.841378	38.232742		4.887072	95.634655
	1.842675	38.309293		4.891983	95.666915
	1.842793	38.315091		4.896697	95.705035
	1.844286	38.403419		4.901687	95.733341
	1.844364	38.407293		4.907069	95.766774
	1.845779	38.491144		4.912294	95.801939
	1.845975	38.501624		4.917872	95.832018
	1.847271	38.578649		4.923294	95.878019
	1.847389	38.584874		4.928087	95.901594
	1.848096	38.626949		4.933076	95.93712
	1.848096	38.626949		4.937673	95.966387
	1.848175	38.631628		4.942701	95.995631
	1.848686	38.662042		4.948083	96.02649
	1.848764	38.665543		4.953191	96.058765
	1.8501	38.745197		4.958769	96.093144
	1.850296	38.756135		4.964073	96.121986
	1.851475	38.826555		4.968984	96.151907
	1.851593	38.832418		4.973894	96.187877
	1.852771	38.902962		4.978373	96.208207
	1.852968	38.913538		4.983402	96.235931
	1.854068	38.979498		4.988784	96.271517
	1.854264	38.99049		4.993891	96.302275
	1.855286	39.051837		4.99947	96.334311
	1.855286	39.051837		5.004695	96.363148
	1.855364	39.055365		5.009566	96.389028
	1.8567	39.135727		5.01487	96.413576
	1.856779	39.139657		5.019977	96.453167
	1.8578	39.201212		5.024495	96.474562
	1.857997	39.211865		5.029288	96.49829
	1.858979	39.271144		5.034081	96.521299
	1.859175	39.282208		5.039384	96.555193
	1.860197	39.343956		5.044884	96.585677
	1.860275	39.347507		5.049992	96.611362
	1.861375	39.414106		5.055295	96.64165
	1.861493	39.420449		5.060285	96.664573
	1.862279	39.468085		5.064802	96.693235
	1.862593	39.485952		5.069595	96.708697
	1.863575	39.545593		5.074388	96.738292
	1.863575	39.545593		5.079574	96.762611
	1.863693	39.551949		5.085074	96.791312
	1.864675	39.611678		5.090181	96.815866
	1.864872	39.622427		5.095171	96.846736
	1.865697	39.67267		5.100396	96.868932
	1.865893	39.683431		5.104796	96.889535
	1.866875	39.743334		5.109667	96.909311
	1.866993	39.749718		5.114892	96.944049
	1.867975	39.809709		5.119567	96.964396
	1.868093	39.815698		5.124989	96.986262
	1.868997	39.870967		5.130174	97.014925
	1.869075	39.874965		5.135085	97.039732
	1.869979	39.930306		5.140271	97.058179
	1.870175	39.941126		5.144671	97.07891
	1.871	39.991726		5.149582	97.108902
	1.871197	40.002965		5.154689	97.126696
	1.871865	40.043983		5.159403	97.149701
	1.8721	40.057241		5.164785	97.17534
	1.872572	40.086222		5.169893	97.197744
	1.872572	40.086222		5.174803	97.222685
	1.872768	40.098303		5.179871	97.240172
	1.872886	40.105553		5.184782	97.262624
	1.873082	40.116822		5.189182	97.274934
	1.873789	40.160357		5.194289	97.300324
	1.873986	40.171231		5.198886	97.315012
	1.87489	40.226932		5.203993	97.338205
	1.875086	40.238232		5.209375	97.361765
	1.875793	40.281885		5.214168	97.378496
	1.875872	40.285505		5.219275	97.397879
	1.876579	40.3292		5.224186	97.429156
	1.876893	40.347401		5.228586	97.441936
	1.877679	40.396019		5.233575	97.458917
	1.877797	40.402495		5.238172	97.474166
	1.878582	40.451171		5.243279	97.497239
	1.878779	40.462113		5.248701	97.522495
	1.879486	40.505974		5.253494	97.539241
	1.879682	40.517343		5.258601	97.558498
	1.880193	40.549056		5.263394	97.582099
	1.880468	40.5649		5.267794	97.595619
	1.881175	40.608863		5.272665	97.604793
	1.88149	40.627588		5.277301	97.623552
	1.882079	40.664268		5.282369	97.643422
	1.882393	40.682601		5.28779	97.668336
	1.882472	40.687496		5.292976	97.684935
	1.882472	40.687496		5.298594	97.711652
	1.882865	40.711976		5.303898	97.724393
	1.8831	40.725847		5.30869	97.738281
	1.883768	40.767507		5.313601	97.758673
	1.883965	40.77852		5.318198	97.775573
	1.884672	40.822686		5.323187	97.790164
	1.884868	40.834131		5.328569	97.802501
	1.885497	40.873435		5.333794	97.830552
	1.885772	40.889388		5.339294	97.848205
	1.886282	40.921356		5.344598	97.860433
	1.886597	40.939792		5.349469	97.879792
	1.887186	40.976717		5.354302	97.895455
	1.887382	40.988199		5.358898	97.913081
	1.887893	41.020233		5.363887	97.927601
	1.888168	41.036241		5.36927	97.939078
	1.888797	41.075713		5.374102	97.960093
	1.888993	41.087221		5.379366	97.970492
	1.889583	41.124263		5.384866	97.986393
	1.889897	41.142776		5.389973	98.002867
	1.890172	41.160077		5.395277	98.021874
	1.890486	41.179026		5.400266	98.037921
	1.891075	41.216145		5.404784	98.050581
	1.89139	41.234694		5.409695	98.068779
	1.891979	41.271853		5.41437	98.070464
	1.892293	41.290843		5.419674	98.09323
	1.892568	41.308202		5.425174	98.108607
	1.892883	41.326787		5.430281	98.125748
	1.893472	41.364024		5.435467	98.136865
	1.893786	41.383046		5.440495	98.146356
	1.8941	41.402924		5.444974	98.157787
	1.894375	41.419062		5.449767	98.169308
	1.894768	41.443927		5.454992	98.188628
	1.895083	41.462565		5.459785	98.197961
	1.895672	41.499909		5.465167	98.215527
	1.895672	41.499909		5.465167	98.215125
	1.895986	41.518994		5.470274	98.22332
	1.896575	41.556378		5.475303	98.245052
	1.896772	41.567576		5.480489	98.255727
	1.897086	41.587532		5.484889	98.263699
	1.8974	41.606652		5.489799	98.274259
	1.897872	41.636612		5.494867	98.28368
	1.898186	41.655324		5.499582	98.299577
	1.898775	41.692818		5.505082	98.315238
	1.89909	41.711977		5.510189	98.323722
	1.899365	41.729494		5.5151	98.338816
	1.899679	41.748238		5.520168	98.342698
	1.899993	41.76827		5.524685	98.361144
	1.900268	41.784957		5.529478	98.365122
	1.900583	41.805005		5.534586	98.378616
	1.900975	41.828796		5.5393	98.385967
	1.901565	41.866429		5.544368	98.394531
	1.9018	41.880636		5.549789	98.414619
	1.902075	41.89821		5.554582	98.4239
	1.902468	41.922053		5.559768	98.436779
	1.902783	41.942159		5.5646	98.446484
	1.903097	41.96099		5.569	98.447985
	1.903686	41.998726		5.574068	98.460243
	1.904079	42.023043		5.578704	98.475526
	1.904393	42.043191		5.583772	98.474775
	1.904786	42.067102		5.589193	98.495972
	1.905101	42.087269		5.593986	98.507745
	1.905376	42.104064		5.599093	98.516828
	1.905768	42.129293		5.603886	98.515064
	1.906083	42.148199		5.608286	98.530664
	1.906279	42.160823		5.613276	98.539472
	1.906672	42.185225		5.617872	98.543847
	1.906986	42.205436		5.622979	98.558757
	1.907379	42.22943		5.628401	98.570819
	1.907693	42.249665		5.633586	98.576958
	1.908086	42.274112		5.639165	98.585679
	1.908401	42.294361		5.644469	98.585838
	1.908676	42.310799		5.649379	98.603958
	1.90899	42.331068		5.65429	98.610176
	1.909383	42.355551		5.658887	98.616979
	1.909776	42.380915		5.663876	98.614417
	1.91009	42.399918		5.669298	98.627581
	1.910483	42.424003		5.674483	98.635618
	1.910797	42.44432		5.680101	98.647761
	1.911072	42.461241		5.685366	98.657993
	1.911386	42.481574		5.690198	98.662257
	1.911386	42.481574		5.695069	98.668042
	1.911701	42.501917		5.699666	98.678185
	1.912093	42.526054		5.704694	98.680139
	1.912368	42.543002		5.710076	98.692691
	1.912801	42.571008		5.715184	98.69741
	1.913076	42.587537		5.720684	98.702937
	1.91339	42.607923		5.725987	98.718676
	1.913665	42.624901		5.730898	98.718444
	1.913979	42.645302		5.736202	98.731728
	1.914293	42.664403		5.741191	98.734357
	1.914568	42.682271		5.74567	98.739354
	1.915001	42.709487		5.75058	98.747069
	1.915276	42.727367		5.755373	98.745844
	1.91559	42.746507		5.760598	98.760103
	1.916101	42.779746		5.766098	98.766567
	1.916376	42.796779		5.771166	98.767363
	1.916768	42.822375		5.77647	98.77034
	1.917083	42.84155		5.781499	98.779337
	1.917397	42.860732		5.785977	98.787722
	1.917672	42.878667		5.790888	98.786219
	1.917986	42.898303		5.795602	98.795891
	1.918576	42.936781		5.800788	98.79792
	1.91889	42.956		5.806288	98.806532
	1.919165	42.97397		5.811395	98.813829
	1.919676	43.006489		5.816385	98.811599
	1.91999	43.025737		5.82157	98.821211
	1.920265	43.043733		5.82597	98.816581
	1.920579	43.063433		5.830881	98.831634
	1.920894	43.084019		5.836067	98.837815
	1.921168	43.100718		5.840781	98.837649
	1.921483	43.121322		5.846203	98.844216
	1.921797	43.141052		5.851389	98.846702
	1.922072	43.159093		5.856299	98.85614
	1.922386	43.178401		5.861485	98.856195
	1.922701	43.19903		5.865885	98.856135
	1.922976	43.216213		5.870796	98.862305
	1.923369	43.240708		5.875903	98.867257
	1.923801	43.269118		5.880578	98.868728
	1.924076	43.285879		5.886	98.878953
	1.92439	43.306558		5.891068	98.877192
	1.924665	43.323774		5.8959	98.872966
	1.925097	43.352232		5.901086	98.876597
	1.925372	43.369026		5.905996	98.888638
	1.925686	43.388855		5.910396	98.892701
	1.926079	43.414757		5.915386	98.893891
	1.926394	43.434165		5.9201	98.889784
	1.926669	43.452313		5.925168	98.893875
	1.926983	43.472177		5.930589	98.905999
	1.927297	43.492937		5.935382	98.90369
	1.927297	43.492937		5.940489	98.906803
	1.92769	43.517562		5.9454	98.91003
	1.927965	43.534853		5.9498	98.90599
	1.928279	43.55564		5.95479	98.912263
	1.928672	43.580296		5.959386	98.919245
	1.928986	43.601099		5.964493	98.916645
	1.929301	43.621021		5.969875	98.916978
	1.929694	43.645715		5.97459	98.914516
	1.930086	43.671752		5.979697	98.922858
	1.930479	43.696468		5.98449	98.922835
	1.930794	43.716431		5.98889	98.925278
	1.931069	43.73468		5.993879	98.922511
	1.931383	43.754209		5.998476	98.935996
	1.931972	43.792463		6.003465	98.930434
	1.932286	43.813357		6.008886	98.923458
	1.932601	43.832917		6.014072	98.928898
	1.932876	43.851212		6.016979	98.929666
	1.93319	43.871237		6.01969	98.93154
	1.933583	43.896048		6.02468	98.935976
	1.933897	43.916984		6.029865	98.937683
	1.93429	43.942272		6.03458	98.936287
	1.934565	43.95926		6.039765	98.935598
	1.935194	44.000295		6.044598	98.939763
	1.935469	44.018649		6.048998	98.945079
	1.935783	44.038291		6.053987	98.942771
	1.936097	44.059286		6.058583	98.943702
	1.936372	44.076315		6.063691	98.946303
	1.936883	44.10956		6.06648	98.948045
	1.937197	44.129238		6.069073	98.951452
	1.937472	44.147641		6.074298	98.944956
	1.938101	44.188833		6.076969	98.936981
	1.938376	44.205903		6.079876	98.94475
	1.93869	44.226969		6.084787	98.94508
	1.939201	44.260318		6.090091	98.939826
	1.939594	44.285322		6.095277	98.955885
	1.93979	44.297604		6.099991	98.955682
	1.940183	44.323988		6.102584	98.955109
	1.940497	44.343747		6.105373	98.951814
	1.941087	44.382451		6.11048	98.943864
	1.941479	44.407521		6.115273	98.94545
	1.941794	44.428665		6.120498	98.942818
	1.942187	44.453757		6.12317	98.944891
	1.942501	44.474019		6.125998	98.940818
	1.942776	44.492547		6.131066	98.941426
	1.94309	44.512373		6.136173	98.942804
	1.943365	44.530008		6.139081	98.942757
	1.943679	44.55121		6.141791	98.945125
	1.944269	44.589621		6.146702	98.947477
	1.944583	44.609937		6.151888	98.950329
	1.944897	44.629806		6.157074	98.936134
	1.945487	44.668733		6.159981	98.933254
	1.945487	44.668733		6.162692	98.948895
	1.945879	44.693941		6.167681	98.935086
	1.946194	44.715211		6.172867	98.933535
	1.946587	44.740897		6.177699	98.939682
	1.946979	44.76614		6.182767	98.944126
	1.947294	44.78607		6.187599	98.931981
	1.947687	44.812704		6.192078	98.944826
	1.948001	44.833111		6.197067	98.940835
	1.948394	44.8584		6.201703	98.945799
	1.949101	44.905506		6.206771	98.928335
	1.949376	44.922821		6.212074	98.924328
	1.94969	44.944187		6.216867	98.93637
	1.950083	44.969987		6.221974	98.934247
	1.950397	44.989998		6.226767	98.926965
	1.950987	45.029203		6.231167	98.926847
	1.951301	45.049233		6.236078	98.925833
	1.951576	45.067971		6.240674	98.919929
	1.951969	45.093839		6.245782	98.928902
	1.952283	45.113895		6.248571	98.922787
	1.95299	45.160776		6.251203	98.922902
	1.953265	45.178637		6.256271	98.910004
	1.953697	45.206775		6.2591	98.922653
	1.953972	45.225577		6.261889	98.914776
	1.954287	45.246146		6.2668	98.923764
	1.954876	45.285081		6.272103	98.904711
	1.95519	45.305674		6.277171	98.903866
	1.955465	45.323121		6.281886	98.914549
	1.956172	45.370657		6.284478	98.908042
	1.956487	45.39082		6.287268	98.896749
	1.956801	45.411456		6.292375	98.895589
	1.957194	45.438423		6.297679	98.90534
	1.957587	45.464007		6.302393	98.89362
	1.957901	45.484205		6.304986	98.902706
	1.958176	45.502179		6.307775	98.888628
	1.958883	45.549413		6.313	98.889611
	1.959197	45.570111		6.317793	98.897134
	1.95959	45.597156		6.322979	98.875551
	1.959865	45.614703		6.32569	98.889949
	1.960376	45.648965		6.328597	98.880686
	1.960965	45.687271		6.333665	98.884955
	1.961397	45.715691		6.338772	98.872084
	1.96179	45.742817		6.341679	98.879576
	1.96238	45.781189		6.34439	98.873225
	1.962694	45.80151		6.349301	98.863665
	1.963087	45.828682		6.354604	98.878465
	1.963676	45.867117		6.359279	98.869356
	1.96399	45.888878		6.364386	98.869126
	1.964265	45.906988		6.369179	98.865492
	1.964894	45.949145		6.373579	98.854307
	1.965169	45.96728		6.378569	98.861376
	1.965483	45.987668		6.383204	98.86353
	1.965483	45.987668		6.388272	98.855166
	1.966073	46.027634		6.391101	98.85042
	1.966701	46.068949		6.393576	98.841617
	1.966976	46.088061		6.398683	98.852601
	1.96729	46.108501		6.40328	98.828604
	1.967565	46.12622		6.408387	98.83661
	1.967998	46.15535		6.41098	98.833392
	1.968273	46.174493		6.413769	98.823085
	1.968587	46.194967		6.418994	98.8371
	1.969176	46.235089		6.423669	98.832485
	1.96949	46.255586		6.426301	98.829973
	1.969765	46.273823		6.429091	98.818383
	1.970198	46.302561		6.434198	98.820524
	1.970473	46.320814		6.438873	98.813365
	1.97118	46.368795		6.444176	98.806827
	1.971573	46.395312		6.446769	98.799251
	1.971887	46.415871		6.449598	98.80585
	1.972594	46.463941		6.454784	98.809105
	1.972869	46.482248		6.459577	98.804304
	1.973183	46.502839		6.46488	98.79269
	1.973773	46.543194		6.467473	98.782589
	1.974087	46.563813		6.47038	98.792451
	1.97448	46.590427		6.475487	98.784979
	1.974991	46.624858		6.480673	98.782152
	1.97558	46.663874		6.48358	98.789596
	1.976169	46.704351		6.486173	98.777168
	1.97668	46.738856		6.491202	98.781387
	1.977073	46.76508		6.496388	98.774065
	1.977387	46.786262		6.501181	98.760778
	1.977976	46.825397		6.506288	98.766666
	1.978369	46.851666		6.511081	98.751155
	1.978683	46.873833		6.515481	98.749255
	1.978998	46.895058		6.52047	98.744286
	1.979391	46.921359		6.525066	98.733009
	1.97998	46.960594		6.530095	98.728359
	1.980569	47.001299		6.533002	98.730237
	1.981198	47.04289		6.535477	98.724218
	1.981591	47.07071		6.540585	98.722232
	1.981866	47.08923		6.545299	98.735452
	1.982494	47.131368		6.550367	98.727891
	1.983083	47.171723		6.552881	98.72324
	1.983673	47.211141		6.555788	98.722174
	1.984183	47.246454		6.560895	98.714686
	1.984694	47.281309		6.56557	98.70054
	1.985283	47.320804		6.568203	98.70084
	1.985794	47.355707		6.570992	98.69015
	1.986383	47.395256		6.576178	98.705765
	1.986894	47.430689		6.580892	98.689946
	1.987601	47.478706		6.586078	98.682399
	1.988073	47.510901		6.588788	98.685308
	1.988701	47.553375		6.591578	98.671896
	1.988701	47.553375		6.596685	98.67784
	1.989291	47.594535		6.601596	98.670065
	1.989998	47.642206		6.606782	98.657536
	1.990587	47.68197		6.609492	98.658818
	1.991176	47.723221		6.612399	98.671522
	1.991766	47.763041		6.617467	98.648872
	1.992276	47.798227		6.622692	98.656515
	1.992866	47.838098		6.6256	98.64611
	1.993573	47.886478		6.628271	98.641713
	1.993887	47.907611		6.633182	98.62673
	1.99428	47.934895		6.638368	98.629076
	1.994987	47.984343		6.6432	98.628509
	1.995576	48.024353		6.648268	98.62016
	1.996166	48.064394		6.6531	98.618311
	1.996676	48.100264		6.657578	98.614759
	1.997266	48.140358		6.662489	98.592994
	1.997776	48.175784		6.667204	98.603466
	1.998366	48.215936		6.672193	98.584498
	1.999073	48.264647		6.6751	98.589396
	1.999701	48.308696		6.677575	98.589443
	2.000173	48.340392		6.682682	98.575548
	2.000801	48.385002		6.687279	98.573462
	2.001587	48.439569		6.692504	98.564788
	2.002176	48.479414		6.694979	98.562904
	2.002766	48.519783		6.697886	98.565816
	2.003473	48.568766		6.702993	98.547077
	2.00418	48.617786		6.707668	98.545795
	2.004494	48.639699		6.7103	98.551344
	2.004887	48.666854		6.713168	98.549789
	2.005594	48.715962		6.718275	98.551168
	2.006302	48.765117		6.72299	98.52539
	2.006891	48.805692		6.728293	98.53704
	2.007598	48.855922		6.730886	98.514674
	2.008069	48.887936		6.733794	98.536071
	2.008698	48.931479		6.738901	98.508665
	2.009366	48.977947		6.743969	98.501645
	2.010073	49.027328		6.746876	98.497278
	2.010702	49.070982		6.749469	98.496748
	2.011291	49.112788		6.754379	98.50066
	2.01188	49.153621		6.757169	98.48838
	2.012469	49.194477		6.759683	98.480709
	2.013098	49.238262		6.764869	98.476374
	2.013766	49.284977		6.76758	98.481267
	2.014473	49.334629		6.770487	98.473795
	2.01518	49.384331		6.77528	98.465666
	2.015769	49.426371		6.778069	98.474353
	2.016398	49.470336		6.780583	98.465208
	2.016987	49.511422		6.785769	98.456016
	2.017577	49.552545		6.790483	98.463509
	2.018166	49.593693		6.795473	98.439498
	2.018794	49.637788		6.79838	98.453307
	2.018794	49.637788		6.800973	98.445814
	2.019384	49.680015		6.805883	98.438505
	2.019894	49.715419		6.810401	98.430367
	2.020484	49.756682		6.815391	98.425951
	2.021073	49.799004		6.81818	98.404509
	2.021702	49.842239		6.820773	98.421012
	2.022291	49.884618		6.825802	98.416785
	2.022998	49.934805		6.830398	98.408553
	2.023666	49.982098		6.835387	98.400648
	2.024294	50.026489		6.838177	98.376456
	2.024766	50.05917		6.840769	98.389861
	2.025394	50.103624		6.845798	98.381115
	2.026102	50.154003		6.850473	98.374653
	2.026691	50.195585		6.85558	98.368668
	2.027398	50.246045		6.858095	98.350221
	2.028066	50.293081		6.861002	98.355376
	2.028695	50.337719		6.86607	98.345469
	2.029402	50.388302		6.870784	98.336183
	2.030187	50.443805		6.873298	98.341135
	2.030895	50.494484		6.876166	98.342951
	2.031602	50.544682		6.881274	98.331063
	2.032191	50.586553		6.883984	98.321884
	2.032898	50.636315		6.886499	98.325419
	2.033488	50.678252		6.891174	98.310306
	2.034077	50.720214		6.896281	98.320532
	2.034784	50.770614		6.899188	98.29624
	2.03557	50.827529		6.901781	98.303095
	2.036277	50.877498		6.906692	98.299601
	2.036866	50.919609		6.911288	98.301066
	2.037495	50.964727		6.916395	98.280949
	2.038084	51.006378		6.919185	98.272336
	2.038791	51.057548		6.921777	98.27698
	2.039498	51.108764		6.926767	98.273047
	2.040088	51.151039		6.931403	98.272948
	2.040677	51.193349		6.93647	98.246616
	2.041266	51.235683		6.938985	98.244385
	2.041895	51.281052		6.941892	98.240294
	2.042602	51.332464		6.946999	98.239317
	2.043073	51.36588		6.951596	98.23258
	2.04378	51.415786		6.956781	98.235486
	2.04437	51.45828		6.959374	98.235978
	2.045077	51.50985		6.962203	98.224294
	2.045666	51.552416		6.967389	98.223746
	2.046177	51.588977		6.972103	98.220285
	2.046766	51.631601		6.974696	98.192062
	2.047395	51.677276		6.977485	98.202895
	2.047984	51.719429		6.982592	98.194977
	2.048573	51.762148		6.987385	98.193279
	2.049202	51.807928		6.992689	98.167134
	2.050184	51.878357		6.995282	98.163495
	2.050773	51.921187		6.998189	98.180481
	2.050773	51.921187		7.003296	98.16675
	2.051284	51.959045		7.008403	98.152933
	2.051873	52.001935		7.011271	98.137183
	2.052502	52.047897		7.013982	98.138823
	2.053091	52.08978		7.018893	98.137867
	2.053681	52.132765		7.024078	98.124226
	2.054388	52.184386		7.028871	98.113673
	2.055095	52.23552		7.0339	98.116927
	2.055684	52.278606		7.038693	98.104276
	2.056273	52.321724		7.043171	98.100122
	2.056902	52.367937		7.048082	98.092883
	2.057491	52.410585		7.052679	98.093153
	2.058081	52.453799		7.057668	98.060327
	2.05867	52.495962		7.060575	98.068818
	2.059298	52.542309		7.06309	98.08196
	2.059888	52.585623		7.068079	98.045504
	2.06087	52.656433		7.072793	98.050304
	2.061498	52.702897		7.0779	98.048872
	2.062166	52.752475		7.080375	98.027778
	2.062795	52.79902		7.083283	98.033514
	2.063384	52.842519		7.08839	98.029744
	2.064091	52.893663		7.093104	98.030465
	2.064799	52.946493		7.095579	98.007531
	2.065388	52.989001		7.098486	98.011411
	2.065977	53.03263		7.103593	98.004234
	2.066684	53.083941		7.106304	97.995971
	2.067391	53.136934		7.108779	98.000839
	2.067981	53.180673		7.113494	97.997404
	2.06857	53.222799		7.118601	97.986856
	2.069277	53.275916		7.121469	97.985444
	2.070102	53.336748		7.124101	97.968886
	2.070691	53.380633		7.128972	97.972074
	2.071399	53.432782		7.133569	97.955876
	2.072066	53.481311		7.138597	97.96699
	2.072695	53.528416		7.141387	97.95816
	2.073402	53.581794		7.14398	97.936661
	2.07407	53.630448		7.148969	97.943074
	2.075288	53.720132		7.153565	97.922683
	2.075877	53.764291		7.158673	97.902896
	2.076584	53.816773		7.161265	97.910817
	2.077095	53.854728		7.164094	97.901542
	2.077802	53.908395		7.169201	97.911054
	2.078784	53.980753		7.173876	97.891288
	2.079374	54.023986		7.178984	97.898761
	2.080002	54.071508		7.181576	97.872489
	2.081299	54.168139		7.184366	97.89026
	2.081888	54.21262		7.189591	97.870631
	2.082595	54.264923		7.194266	97.878782
	2.083302	54.317825		7.196898	97.853011
	2.083892	54.362417		7.199687	97.86913
	2.08507	54.450001		7.204873	97.842172
	2.08507	54.450001		7.209587	97.849752
	2.085699	54.497853		7.214891	97.829034
	2.086367	54.547223		7.217484	97.830901
	2.087074	54.599804		7.220391	97.819264
	2.087702	54.647767		7.225498	97.816605
	2.088488	54.707359		7.230566	97.809111
	2.089195	54.760073		7.233473	97.797013
	2.090374	54.848219		7.236184	97.802906
	2.091199	54.911181		7.241095	97.784521
	2.091788	54.954498		7.243766	97.788389
	2.092495	55.009121		7.246281	97.780869
	2.093202	55.062093		7.251466	97.777384
	2.094381	55.151237		7.254295	97.756321
	2.095088	55.204321		7.257084	97.766046
	2.095677	55.249549		7.261995	97.741676
	2.096385	55.302716		7.264666	97.743179
	2.09717	55.362926		7.267299	97.741955
	2.097799	55.409764		7.272484	97.73241
	2.098467	55.459851		7.277199	97.726381
	2.099174	55.513774		7.282188	97.703646
	2.099802	55.562439		7.285095	97.716208
	2.100392	55.606198		7.287688	97.710212
	2.101099	55.661393		7.292599	97.713284
	2.102199	55.744339		7.297195	97.695849
	2.102788	55.788797		7.302185	97.701841
	2.103377	55.833864		7.304974	97.671437
	2.104477	55.917612		7.307567	97.663136
	2.105185	55.971345		7.312478	97.662032
	2.105695	56.010625		7.317074	97.674005
	2.106402	56.064432		7.322181	97.648115
	2.10707	56.115615		7.324971	97.650031
	2.107581	56.15499		7.327603	97.641872
	2.10817	56.19915		7.332592	97.641461
	2.10927	56.284539		7.337267	97.620479
	2.109899	56.332051		7.342374	97.625343
	2.110488	56.378084		7.344967	97.611321
	2.111588	56.461958		7.347796	97.612991
	2.112178	56.506915		7.352903	97.615599
	2.112885	56.561138		7.357578	97.590314
	2.113474	56.607338		7.360171	97.575854
	2.114102	56.655081		7.363	97.574321
	2.114692	56.701347		7.368185	97.578479
	2.115281	56.74647		7.3729	97.552322
	2.116381	56.830822		7.378085	97.554321
	2.11697	56.875448		7.380678	97.537375
	2.117678	56.931744		7.383586	97.539604
	2.118267	56.97644		7.388693	97.533004
	2.118974	57.02987		7.393486	97.543913
	2.120192	57.125087		7.398789	97.511962
	2.120899	57.179829		7.4015	97.536678
	2.121488	57.224687		7.404289	97.527716
	2.121488	57.224687		7.409475	97.522884
	2.122078	57.271354		7.414582	97.512036
	2.122667	57.316875		7.417489	97.472898
	2.123885	57.411915		7.4202	97.494353
